Run Event TrackID EndX EndY EndZ
28891 20484 7 -61.9932 262.891 352.448
28891 20484 14 65.9356 99.265 111.059
28891 308073 5 -223.09 188.686 168.424
28891 308089 2 -92.0681 140.164 232.33
28891 129007 12 -89.2259 369.024 358.86
28891 129063 5 -131.893 152.476 333.21
28891 129207 7 -49.4931 170.582 334.066
28891 21141 0 -282.384 126.575 83.4507
28891 21221 7 -30.8206 101.28 322.752
28891 21253 14 -61.8147 414.192 372.798
28891 302053 5 -11.2556 97.9915 428.174
28891 302189 8 -198.434 108.48 243.024
28891 247320 12 31.8092 546.325 421.798
28891 247368 23 -23.0944 476.062 288.432
28891 103429 10 -65.4616 281.412 285.057
28891 103461 10 55.3323 217.373 78.0869
28891 103549 6 64.9129 235.968 278.42
28891 97766 0 -213.294 254.722 251.004
28891 97950 11 -63.0746 276.019 244.817
28891 299384 5 -104.461 221.546 310.991
28891 299392 11 -18.2637 223.569 280.342
28891 299472 18 50.5147 54.3372 171.6
28891 189475 3 -199.199 147.087 366.604
28891 189611 6 -132.393 145.356 101.789
28891 107892 13 -35.2143 160.609 256.223
28891 107916 6 -152.893 263.776 330.799
28891 107932 20 -6.48559 373.642 277.036
28891 107956 2 -26.6271 80.36 379.678
28891 107996 6 -17.167 69.0675 328.233
28891 204860 17 13.28 292.727 229.627
28891 204900 22 -34.1477 459.839 349.494
28891 204980 26 -31.2061 309.221 250.405
28891 205012 1 -68.8839 125.251 364.053
28891 335363 3 309.617 176.554 328.208
28891 335363 12 -84.497 483.153 279.428
28891 335515 5 -176.175 161.954 261.606
28891 161002 9 -190.639 347.416 378.44
28891 161074 12 12.4233 147.387 239.883
28891 349444 4 -34.8576 84.5448 323.266
28891 349524 4 -171.439 94.3049 388.28
28891 349532 17 43.8996 356.967 116.684
28891 349588 15 -56.2104 531.945 414.77
28891 349596 11 -24.5114 360.47 389.342
28891 349652 1 134.86 158.082 103.207
28891 349660 20 307.928 275.351 357.496
28891 171686 4 80.0685 145.783 190.536
28891 171718 10 15.7025 209.05 283.732
28891 171726 17 -12.0319 437.775 281.944
28891 171742 7 -83.1107 149.056 340.975
28891 171862 25 24.0506 409.46 63.6724
28891 239109 1 -171.057 106.617 254.039
28891 228981 21 -11.4512 288.338 357.946
28891 228997 3 -350.401 270.645 51.3509
28891 229061 9 -172.225 303.012 406.98
28891 347320 6 -11.5672 212.344 257.471
28891 296662 2 -140.729 82.7128 318.954
28891 296702 2 73.1828 38.5091 107.597
28891 296726 8 -10.397 89.3537 298.121
28891 296774 5 -135.296 173.942 380.754
28891 242485 1 -66.5451 212.905 397.113
28891 242501 11 -17.9721 105.463 342.465
28891 242517 16 -36.1311 495.573 374.508
